router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,router_x,router_y,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,edge_len,edge_load,data_now,data_target,data_size,data_priority
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,21,12,0.38160951171771706,0
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,16,1,0.29152561044925096,1
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,15,20,0.4473909995896622,2
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,10,3,0.4173100612587749,3
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,16,0.9125601178277328,4
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,16,13,0.45203540434930845,5
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,12,8,0.2593397426984828,6
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,16,3,0.39858566799356554,7
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,17,0.3170025976172225,8
0,0,0.25,0,0.5,0,0.75,0,1.0,0,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25,0,0.5,0.25,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,1.0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,14,15,0.5010867195872757,9
